127.0.0.1 - - [05/Mar/2024:09:10:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:10:14 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:10:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:10:29 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:11:08 +0900] "GET /JspProject/ajax0304/dbRead.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:11:09 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:11:10 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:12:55 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:12:55 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:12:56 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:32:22 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:34:03 +0900] "GET /JspProject/ajax0304/dbRead.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:34:04 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:34:08 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:41:15 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:41:15 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:41:15 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:42:03 +0900] "GET /JspProject/ajax0304/dbRead.html HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:42:04 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:42:04 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:42:04 +0900] "GET /JspProject/ajax0304/%EC%82%AC%EC%A7%84 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:42:04 +0900] "GET /JspProject/image/Food/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:44:22 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:44:22 +0900] "GET /JspProject/ajax0304/%EC%82%AC%EC%A7%84 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:44:22 +0900] "GET /JspProject/ajax0304/teamtoxml.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:44:23 +0900] "GET /JspProject/ajax0304/foodtoxml.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [05/Mar/2024:09:44:23 +0900] "GET /JspProject/ajax0304/%EC%82%AC%EC%A7%84 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:25:18 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 500 2198
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:25:37 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:25:52 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:26:33 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:09 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:10 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:11 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:13 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:13 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:14 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:27 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:27 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:27 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:34 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:35 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:41:35 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:42:16 +0900] "GET /JspProject/ajax0305/infotojson.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Mar/2024:10:42:46 +0900] "GET /JspProject/ajax0305/readinfotojson.html HTTP/1.1" 304 -
